Item,Calories,Fat,Carb,Fiber,Protein,Category
Chicken & Quinoa Protein Bowl with Black Beans and Greens,420,17,42,9,27,Bowls
Chicken Artichoke on Ancient Grain Flatbread,510,27,37,5,24,Sandwiches
Chicken BLT Salad Sandwich,470,25,35,3,21,Sandwiches
Egg Salad Sandwich,480,27,42,7,16,Sandwiches
Homestyle Chicken & Double-Smoked Bacon,480,17,57,3,23,Sandwiches
Italian-Style Ham & Spicy Salami,480,20,49,3,22,Sandwiches
Lentils & Vegetable Protein Bowl with Brown Rice,650,29,80,21,23,Bowls
Roasted Tomato & Mozzarella Panini,420,18,47,3,11,Sandwiches
Turkey & Havarti Sandwich,460,21,31,2,29,Sandwiches
Turkey Pesto Panini,560,23,55,3,34,Sandwiches
Berry Trio Yogurt,240,2.5,39,3,14,Yogurts
Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,42,2,14,Yogurts
Justin's Chocolate Hazelnut Butter,180,14,12,3,4,Snacks
Justin's Classic Almond Butter,190,18,6,3,7,Snacks
Lemon Chiffon Yogurt,340,13,38,0,18,Yogurts
Organic Avocado (Spread),90,8,5,4,1,Snacks
Seasonal Fruit Blend,90,0,24,4,1,Snacks
